"month(Start.Time)","year(Start.Time)","Max.Heart.Rate","Avg.Heart.Rate","Max.Cadence","Avg.Cadence","Max.Pace","Avg.Pace","Month"
4,2021,161.5,149,203.25,178.766666666667,273,341.583333333333,1
5,2021,157.8,144.65,220.3,185.444,231.75,307.8,2
6,2021,159.85,145.2,219.7,184.511,234,308.35,3
7,2021,161.833333333333,145.666666666667,220.944444444444,184.272777777778,228.555555555556,307.5,4
8,2021,160.789473684211,144.157894736842,216.578947368421,185.517368421053,227.105263157895,301.736842105263,5
9,2021,157.888888888889,143.333333333333,205.833333333333,186.590555555556,233.611111111111,293.444444444444,6
10,2021,164.588235294118,149.647058823529,215.823529411765,190.138823529412,226.176470588235,282.235294117647,7
11,2021,160.85,144.7,218.15,190.8585,223.3,285.4,8
12,2021,157.333333333333,142.888888888889,214.222222222222,191.033333333333,222.444444444444,291.111111111111,9
1,2022,156.428571428571,142.857142857143,217.5,189.096428571429,233.928571428571,296.285714285714,10
2,2022,158.588235294118,144.352941176471,211.470588235294,189.606470588235,231.823529411765,290.352941176471,11
3,2022,155.285714285714,136.714285714286,218.571428571429,190.657142857143,222.285714285714,286.571428571429,12
