"Week","month(Start.Time)","year(Start.Time)","Max.Heart.Rate","Avg.Heart.Rate","Max.Cadence","Avg.Cadence","Max.Pace","Avg.Pace"
1,12,2021,153,140,203,187,235,304
2,1,2022,161,149,212,190.41,250,295
3,1,2022,156,142.75,208,188.3675,239,297.5
4,1,2022,158.4,144.6,223.4,190.202,237.2,290.2
5,1,2022,153.25,139.25,221,188.115,220.75,303
6,2,2022,158,140.5,208.5,187.365,244,301.5
7,2,2022,159.6,145.6,211,189.968,226.8,288
8,2,2022,159.4,145.6,211.4,190.956,232.2,286.2
9,2,2022,156.666666666667,144.333333333333,205,189.683333333333,247.333333333333,291.666666666667
10,2,2022,157.5,142,225.5,187.455,208,293.5
11,3,2022,148,126.333333333333,209.333333333333,189.673333333333,232.333333333333,288.333333333333
12,3,2022,160.75,144.5,225.5,191.395,214.75,285.25
